	HC1	HC2	HC3	HC4	C1	C2	C3	C4	C5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
novel_circ_0002257	323.0553861	271.0302538	452.8301887	0	86.1808937	0	376.4493299	0	0	293.6138977	187.1908009	637.2603347	189.5914305	578.5960779	208.7791638	969.3444808	539.2081343	274.1077792	554.7593731
hsa_circ_0035196	0	304.9090355	188.6792453	202.3472278	0	193.9111887	0	0	189.7413193	513.824321	534.8308597	360.190624	189.5914305	330.6263303	809.0192599	0	500.6932676	274.1077792	323.6096343
novel_circ_0014154	0	0	0	0	129.2713405	0	0	0	0	342.5495473	133.7077149	249.3627397	71.09678643	123.9848738	234.8765593	0	269.6040672	0	323.6096343
hsa_circ_0006209	287.1603432	237.151472	75.47169811	0	86.1808937	0	301.1594639	0	189.7413193	1761.683386	1203.369434	581.8463926	331.7850033	371.9546215	756.8244689	484.6722404	115.5446002	109.6431117	416.0695298
novel_circ_0012573	179.4752145	101.6363452	226.4150943	556.4548766	0	0	0	0	126.4942129	171.2747737	267.4154299	221.6557686	165.8925017	123.9848738	156.5843729	0	0	109.6431117	92.45989552
hsa_circ_0031615	0	135.5151269	150.9433962	151.7604209	0	0	0	0	126.4942129	171.2747737	187.1908009	138.5348554	118.494644	247.9697477	104.3895819	181.7520901	269.6040672	0	0
novel_circ_0009822	143.5801716	67.75756344	264.1509434	0	0	0	225.869598	0	0	244.6782481	240.6738869	193.9487975	236.9892881	413.2829128	208.7791638	0	269.6040672	164.4646675	184.919791
hsa_circ_0007429	0	101.6363452	113.2075472	0	0	0	0	122.1560544	0	318.0817225	320.8985158	249.3627397	47.39785762	351.2904759	495.8505141	0	192.5743337	219.2862233	508.5294254
novel_circ_0010439	323.0553861	271.0302538	0	151.7604209	0	0	0	91.61704077	0	73.40347443	320.8985158	83.12091322	189.5914305	413.2829128	260.9739548	121.1680601	0	219.2862233	323.6096343
novel_circ_0009021	717.9008579	609.8180709	792.4528302	252.9340348	172.3617874	0	301.1594639	91.61704077	189.7413193	2202.104233	1123.144805	609.5533636	853.1614371	1715.124088	1644.135915	787.5923906	693.2676013	219.2862233	554.7593731
novel_circ_0014180	71.79008579	0	0	0	0	129.2741258	0	0	0	97.87129924	133.7077149	110.8278843	0	123.9848738	130.4869774	242.3361202	539.2081343	0	231.1497388
novel_circ_0010599	179.4752145	135.5151269	0	0	86.1808937	0	0	0	0	391.485197	80.22462896	443.3115372	71.09678643	41.32829128	104.3895819	242.3361202	77.02973348	0	184.919791
hsa_circ_0077409	574.3206863	237.151472	226.4150943	657.6284905	0	193.9111887	0	0	0	293.6138977	80.22462896	221.6557686	308.0860745	309.9621846	521.9479096	121.1680601	154.059467	219.2862233	184.919791
hsa_circ_0000609	215.3702574	101.6363452	264.1509434	657.6284905	0	0	0	61.07802718	0	122.3391241	294.1569729	249.3627397	142.1935729	268.6338933	156.5843729	0	0	164.4646675	138.6898433
hsa_circ_0003956	215.3702574	101.6363452	75.47169811	0	0	0	0	0	126.4942129	48.93564962	106.9661719	55.41394215	236.9892881	206.6414564	182.6817684	302.9201502	192.5743337	164.4646675	92.45989552
hsa_circ_0003761	143.5801716	304.9090355	150.9433962	101.1736139	0	0	0	61.07802718	0	342.5495473	133.7077149	193.9487975	47.39785762	206.6414564	156.5843729	242.3361202	0	164.4646675	184.919791
hsa_circ_0003068	71.79008579	67.75756344	150.9433962	101.1736139	0	0	150.579732	0	0	73.40347443	427.8646878	277.0697107	213.2903593	206.6414564	78.29218644	181.7520901	231.0892004	0	0
novel_circ_0002705	0	0	0	0	86.1808937	0	0	0	0	538.2921458	80.22462896	304.7766818	189.5914305	144.6490195	208.7791638	0	77.02973348	0	277.3796866
hsa_circ_0003673	107.6851287	0	0	0	0	0	0	0	0	122.3391241	80.22462896	83.12091322	0	61.99243692	208.7791638	0	115.5446002	0	184.919791
novel_circ_0002733	287.1603432	135.5151269	0	303.5208418	0	193.9111887	0	0	0	97.87129924	588.3139457	193.9487975	47.39785762	805.90168	704.629678	181.7520901	192.5743337	0	184.919791
novel_circ_0010476	107.6851287	0	0	0	0	0	0	0	0	73.40347443	80.22462896	83.12091322	94.79571523	41.32829128	78.29218644	302.9201502	0	164.4646675	0
novel_circ_0011222	0	0	0	151.7604209	0	0	0	0	0	195.7425985	106.9661719	83.12091322	71.09678643	103.3207282	104.3895819	121.1680601	115.5446002	0	0
novel_circ_0013434	0	101.6363452	188.6792453	0	0	0	0	0	0	48.93564962	320.8985158	55.41394215	118.494644	123.9848738	104.3895819	0	0	109.6431117	0
novel_circ_0008597	466.6355576	237.151472	150.9433962	202.3472278	0	0	150.579732	0	0	342.5495473	160.4492579	526.4324504	118.494644	247.9697477	260.9739548	181.7520901	231.0892004	0	0
novel_circ_0007783	0	0	113.2075472	0	0	0	0	0	0	171.2747737	53.48308597	138.5348554	0	103.3207282	130.4869774	121.1680601	0	109.6431117	138.6898433
hsa_circ_0034970	215.3702574	0	75.47169811	252.9340348	0	0	0	0	0	73.40347443	0	166.2418264	165.8925017	123.9848738	182.6817684	0	77.02973348	0	92.45989552
hsa_circ_0062435	0	0	150.9433962	0	0	0	0	0	0	171.2747737	133.7077149	110.8278843	94.79571523	41.32829128	182.6817684	0	0	0	184.919791
hsa_circ_0068090	107.6851287	135.5151269	188.6792453	354.1076487	0	0	0	0	0	146.8069489	0	138.5348554	165.8925017	123.9848738	78.29218644	181.7520901	0	0	92.45989552
